x1,x2,y
0.07756324831501966,0.517791495881349,5.0
0.08229010981251719,0.3157262386634184,3.0
0.3720095637491926,0.21989526860558994,4.0
0.07542113087150973,0.3692030085296725,4.0
0.10445186350729442,0.5559054514801504,4.0
0.11633224196143488,0.2576297129665671,4.0
0.09869281941713078,0.3731361921365247,3.0
0.2761771492375601,0.614862416020735,4.0
0.35848717002844344,0.1878528711941351,3.0
0.1066130540708548,0.1898417606802412,4.0
0.4001284598003296,0.18870132437846476,4.0
0.16345977117100918,0.23104229554471384,4.0
0.09266809080845496,0.2860570512035316,3.0
0.07483103744180597,0.18709218671574368,4.0
0.0967270454244358,0.2046342783593031,4.0
0.08135252748620529,0.1225379351053395,3.0
0.053772181609559,0.2745618021711663,2.0
0.053772181609559,0.4751244875659106,4.0
0.11045494969878167,0.1593581517764512,4.0
0.11559202868565475,0.3270650874355145,4.0
0.13478605963553975,0.3755534839144391,2.0
0.35634522538838903,0.24107202127571295,4.0
0.069584797139019,0.16573549670901574,3.0
0.06684520816904592,0.2948085975663913,4.0
0.15597375719858586,0.116636798088411,4.0
0.13382786642203964,0.32394312730078345,3.0
0.0775658989614655,0.3851599697784705,3.0
0.1308691611629519,0.3670311326523493,4.0
0.09434654374690636,0.14380268980691738,4.0
0.16050417795814598,0.2412479710403633,1.0
0.0631665069292438,0.240414013200316,4.0
0.13521949987635454,0.02242552046312693,4.0
0.07384950558658868,0.3269366768226217,3.0
0.06510529943750966,0.17219255845323742,4.0
0.07006446743379577,0.45394558389278294,4.0
0.3372270353039685,0.06519425689516725,4.0
0.0582572376070792,0.2076581725273986,4.0
0.05917187413497225,0.14892086330935256,4.0
0.1840770474151721,0.3300093992013805,4.0
0.15980101537580768,0.2824354270165529,4.0
0.09279161480496448,0.4347205403993636,4.0
0.08588774475995012,0.3391487267503071,3.0
0.06897887087970209,0.471848053472116,3.0
0.2374510659317003,0.24535161344608525,4.0
0.06141842808035339,0.3394561238880749,4.0
0.10280934836213153,0.2374806272003673,4.0
0.14101975112745285,0.3279663301059441,4.0
0.053772181609559,0.3079309317107429,4.0
0.053772181609559,0.3995453943593592,2.0
0.05862204027846095,0.16761156957988255,4.0
0.09014961550444786,0.40757927638471736,4.0
0.10631623152304856,0.32729000918942625,5.0
0.0913360543567902,0.19736124644952624,2.0
0.053772181609559,0.2388896498032035,3.0
0.08220209104502496,0.11699690526908085,5.0
0.07960789481524927,0.09617920070723082,5.0
0.1233570753347268,0.5471856491160525,4.0
0.06114783268715958,0.4880643501899942,4.0
0.05764869799886944,0.07499900814642403,4.0
